index,date,venue,num_visitors
0,5/20/2013,North America,1445
0,5/20/2013,Europe,1624
0,5/20/2013,South America,961
0,5/20/2013,Africa,391
0,5/20/2013,Asia,578
0,5/20/2013,Australia,517
0,5/20/2013,Antarctica,1
1,5/21/2013,North America,1960
1,5/21/2013,Europe,1589
1,5/21/2013,South America,975
1,5/21/2013,Africa,349
1,5/21/2013,Asia,805
1,5/21/2013,Australia,947
1,5/21/2013,Antarctica,2
2,5/22/2013,North America,1817
2,5/22/2013,Europe,1509
2,5/22/2013,South America,688
2,5/22/2013,Africa,417
2,5/22/2013,Asia,575
2,5/22/2013,Australia,589
2,5/22/2013,Antarctica,9
3,5/23/2013,North America,1305
3,5/23/2013,Europe,1766
3,5/23/2013,South America,724
3,5/23/2013,Africa,317
3,5/23/2013,Asia,846
3,5/23/2013,Australia,907
3,5/23/2013,Antarctica,0
4,5/24/2013,North America,1502
4,5/24/2013,Europe,1719
4,5/24/2013,South America,873
4,5/24/2013,Africa,286
4,5/24/2013,Asia,616
4,5/24/2013,Australia,597
4,5/24/2013,Antarctica,6
5,5/25/2013,North America,1497
5,5/25/2013,Europe,1913
5,5/25/2013,South America,801
5,5/25/2013,Africa,467
5,5/25/2013,Asia,683
5,5/25/2013,Australia,885
5,5/25/2013,Antarctica,9
6,5/26/2013,North America,1475
6,5/26/2013,Europe,1789
6,5/26/2013,South America,993
6,5/26/2013,Africa,328
6,5/26/2013,Asia,960
6,5/26/2013,Australia,717
6,5/26/2013,Antarctica,1
7,5/27/2013,North America,1761
7,5/27/2013,Europe,1805
7,5/27/2013,South America,938
7,5/27/2013,Africa,324
7,5/27/2013,Asia,1000
7,5/27/2013,Australia,853
7,5/27/2013,Antarctica,7
8,5/28/2013,North America,1256
8,5/28/2013,Europe,1546
8,5/28/2013,South America,549
8,5/28/2013,Africa,297
8,5/28/2013,Asia,964
8,5/28/2013,Australia,645
8,5/28/2013,Antarctica,0
9,5/29/2013,North America,1049
9,5/29/2013,Europe,1577
9,5/29/2013,South America,785
9,5/29/2013,Africa,484
9,5/29/2013,Asia,946
9,5/29/2013,Australia,706
9,5/29/2013,Antarctica,7
10,5/30/2013,North America,1471
10,5/30/2013,Europe,1643
10,5/30/2013,South America,551
10,5/30/2013,Africa,451
10,5/30/2013,Asia,633
10,5/30/2013,Australia,726
10,5/30/2013,Antarctica,5
11,5/31/2013,North America,1812
11,5/31/2013,Europe,1768
11,5/31/2013,South America,920
11,5/31/2013,Africa,445
11,5/31/2013,Asia,541
11,5/31/2013,Australia,866
11,5/31/2013,Antarctica,10
12,6/1/2013,North America,1280
12,6/1/2013,Europe,1620
12,6/1/2013,South America,832
12,6/1/2013,Africa,391
12,6/1/2013,Asia,610
12,6/1/2013,Australia,952
12,6/1/2013,Antarctica,3
13,6/2/2013,North America,1982
13,6/2/2013,Europe,1965
13,6/2/2013,South America,728
13,6/2/2013,Africa,482
13,6/2/2013,Asia,925
13,6/2/2013,Australia,903
13,6/2/2013,Antarctica,0
14,6/3/2013,North America,1547
14,6/3/2013,Europe,1768
14,6/3/2013,South America,750
14,6/3/2013,Africa,299
14,6/3/2013,Asia,564
14,6/3/2013,Australia,989
14,6/3/2013,Antarctica,0
15,6/4/2013,North America,1454
15,6/4/2013,Europe,1878
15,6/4/2013,South America,843
15,6/4/2013,Africa,498
15,6/4/2013,Asia,938
15,6/4/2013,Australia,976
15,6/4/2013,Antarctica,7
16,6/5/2013,North America,1624
16,6/5/2013,Europe,1881
16,6/5/2013,South America,988
16,6/5/2013,Africa,395
16,6/5/2013,Asia,642
16,6/5/2013,Australia,970
16,6/5/2013,Antarctica,9
17,6/6/2013,North America,1587
17,6/6/2013,Europe,1911
17,6/6/2013,South America,610
17,6/6/2013,Africa,493
17,6/6/2013,Asia,763
17,6/6/2013,Australia,980
17,6/6/2013,Antarctica,6
18,6/7/2013,North America,1642
18,6/7/2013,Europe,1897
18,6/7/2013,South America,812
18,6/7/2013,Africa,364
18,6/7/2013,Asia,708
18,6/7/2013,Australia,566
18,6/7/2013,Antarctica,9
19,6/8/2013,North America,1094
19,6/8/2013,Europe,1644
19,6/8/2013,South America,813
19,6/8/2013,Africa,282
19,6/8/2013,Asia,988
19,6/8/2013,Australia,749
19,6/8/2013,Antarctica,5
20,6/9/2013,North America,1865
20,6/9/2013,Europe,1964
20,6/9/2013,South America,685
20,6/9/2013,Africa,431
20,6/9/2013,Asia,918
20,6/9/2013,Australia,505
20,6/9/2013,Antarctica,6
21,6/10/2013,North America,1393
21,6/10/2013,Europe,1638
21,6/10/2013,South America,743
21,6/10/2013,Africa,318
21,6/10/2013,Asia,516
21,6/10/2013,Australia,667
21,6/10/2013,Antarctica,9
22,6/11/2013,North America,1439
22,6/11/2013,Europe,1866
22,6/11/2013,South America,831
22,6/11/2013,Africa,413
22,6/11/2013,Asia,786
22,6/11/2013,Australia,701
22,6/11/2013,Antarctica,1
23,6/12/2013,North America,1753
23,6/12/2013,Europe,1802
23,6/12/2013,South America,785
23,6/12/2013,Africa,227
23,6/12/2013,Asia,955
23,6/12/2013,Australia,779
23,6/12/2013,Antarctica,1
24,6/13/2013,North America,1018
24,6/13/2013,Europe,1914
24,6/13/2013,South America,966
24,6/13/2013,Africa,352
24,6/13/2013,Asia,955
24,6/13/2013,Australia,715
24,6/13/2013,Antarctica,9
25,6/14/2013,North America,1590
25,6/14/2013,Europe,1514
25,6/14/2013,South America,895
