index,date,venue,num_visitors
0,05/24/2013,North America,23
0,05/24/2013,Europe,3
0,05/24/2013,South America,0
0,05/24/2013,Australia,0
0,05/24/2013,Asia,0
0,05/24/2013,Antarctica,0
0,05/24/2013,Africa,0
1,05/25/2013,North America,15
1,05/25/2013,Europe,10
1,05/25/2013,South America,0
1,05/25/2013,Australia,0
1,05/25/2013,Asia,0
1,05/25/2013,Antarctica,0
1,05/25/2013,Africa,0
2,05/26/2013,North America,34
2,05/26/2013,Europe,10
2,05/26/2013,Asia,1
2,05/26/2013,South America,0
2,05/26/2013,Australia,0
2,05/26/2013,Antarctica,0
2,05/26/2013,Africa,0
3,05/27/2013,North America,4
3,05/27/2013,Europe,14
3,05/27/2013,Africa,1
3,05/27/2013,Australia,1
3,05/27/2013,South America,0
3,05/27/2013,Asia,0
3,05/27/2013,Antarctica,0
